completion,preds
"Favor, None","None, Against"
"None, Against","Against, None"
"None, Against","None, Against"
"None, None","None, Against"
"None, None","Against, "
"None, Against",", "
"None, Against","None, Against"
"Against, None","Against, "
"Favor, None",", "
"None, None","Against, "
"Favor, None","None, Against"
"None, None","Against, "
"Favor, None","None, Against"
"Favor, None","Against, "
"None, None",", "
"Favor, None","None, Against"
"Favor, None","Against, "
"None, None","None, Against"
"Favor, None","None, Against"
"None, None","Against, "
"Favor, None","None, Against"
"None, Against","Against, "
"Favor, None","Against, "
"Favor, None","Against, "
"None, None","Against, "
"Favor, None","Against, "
"Favor, None","Against, "
"Favor, None","Against, "
"None, Against","Against, None"
"None, None",", "
"None, None","Against, "
"Favor, None","Against, "
"Favor, None","None, Against"
"None, None","Against, "
"Favor, None","Against, None"
"None, None","Against, "
"None, None","Against, "
"Favor, None","None, Against"
"Favor, None","Against, None"
"None, None","None, Against"
"None, Against","Against, "
"Favor, None","Favor, "
"Against, None","None, Against"
"Favor, None","None, Against"
"None, None","None, Against"
"Favor, Against","None, Against"
"None, None","Against, None"
"None, None","Favor, "
"None, None","None, Against"
"Favor, Against","None, Against"
"Favor, None","None, Against"
"Favor, None","Favor, "
"Against, None","None, Against"
"Favor, None","None, Against"
"Favor, None","Favor, "
"None, None","None, Against"
"None, Against","Against, "
"Favor, None","None, Against"
"Favor, None","None, Against"
"None, None","None, Against"
"None, None","None, Against"
"Favor, None",", "
"Favor, None",", "
"None, Against","None, Against"
"Favor, None","None, Against"
"None, None","None, Against"
"None, None",", "
"Favor, Against","Against, "
"None, None","None, Against"
"Favor, None","Against, "
"Favor, None","Against, "
"Against, None","None, Against"
"None, None","Against, "
"Favor, None","Against, "
"Favor, None",", "
"None, None","None, Against"
"None, None",", "
"Favor, None","None, Against"
"Favor, None","None, Against"
"Favor, None","None, Against"
"None, Against",", "
"None, None","Against, "
"Favor, None","Favor, "
"None, None","Against, None"
"Favor, None","None, Against"
"None, None","Against, "
"None, None",", "
"None, None","None, Against"
"Favor, None","None, Against"
"Against, None","Against, "
"None, Against","None, Against"
"Favor, None","Against, "
"Favor, None","None, Against"
"Favor, None","Favor, "
"None, None","Against, "
"None, None","Against, "
"None, None","None, Against"
"Favor, None","None, Against"
"Favor, None","Against, "
"Favor, None",", "
"None, None","Against, "
"None, None","Against, "
"Against, None","None, Against"
"None, None",", "
"None, Against",", "
"Favor, None","None, Against"
"None, None","Against, None"
"None, None","None, Against"
"None, None",", "
"None, Against","None, Against"
"Against, None","None, Against"
"Favor, None","Favor, "
"Favor, Against","Against, "
"None, None","Against, "
"None, None","Against, "
"Favor, None","None, Against"
"Favor, None","None, Against"
"Against, None","None, Against"
"None, None","Against, "
"None, None","None, Against"
"None, None","None, Against"
"None, None","None, Against"
"None, Against","None, Against"
"None, Against","None, Against"
"Favor, None","None, Against"
"None, Against",", "
"Against, None",", "
"Favor, None","Against, "
"None, Against","Against, "
"None, None",", "
"Favor, Against","Against, None"
"None, None","None, Against"
"Favor, None",", "
"None, None","None, Against"
"Favor, None","None, Against"
