completion,preds
"Favor, None","Favor, None"
"Favor, None","Favor, Against"
"None, None","None, None"
"None, Against","Against, Favor"
"Favor, None","Favor, Against"
"Favor, None","Favor, None"
"None, None","Against, None"
"None, None","Favor, None"
"Favor, None","Favor, Against"
"Favor, None","Favor, None"
"None, Against","None, Against"
"Favor, None","Favor, Against"
"None, None","None, None"
"None, None","Favor, Against"
"Favor, Against","Favor, Against"
"None, None","Favor, None"
"Favor, None","Favor, None"
"Favor, None","Favor, Against"
"Against, None","Against, Favor"
"None, None","Favor, None"
"Favor, None","Favor, Against"
"Favor, None","Favor, None"
"None, None","Against, Favor"
"None, None","None, None"
"Favor, None","Favor, None"
"Favor, None","Favor, None"
"Favor, None","Favor, Against"
"None, Against","Favor, Against"
"None, None","None, Favor"
"Favor, None","Favor, Against"
"None, None","Against, None"
"Favor, None","Favor, None"
"None, None","None, None"
"None, None","Favor, Against"
"None, None","Against, None"
"Favor, None","Favor, Against"
"Against, None","Against, Favor"
"None, Against","Against, Against"
"Favor, None","Favor, Against"
"Favor, None","Favor, Against"
"Favor, None","Favor, None"
"None, None","None, None"
"None, None","None, None"
"None, None","Against, Against"
"Favor, None","None, None"
"Favor, None","Favor, Against"
"Favor, None","Favor, Against"
"None, None","None, None"
"None, None","None, None"
"Against, None","Favor, Against"
"None, None","Favor, Against"
"None, Against","None, Against"
"Favor, None","Favor, None"
"None, None","None, Favor"
"None, None","None, None"
"None, None","Favor, Favor"
"None, Against","Against, Against"
"Against, None","Against, Favor"
"Favor, None","Favor, Against"
"Favor, Against","Favor, Against"
"None, None","None, None"
"None, None","None, None"
"Favor, None","None, None"
"Favor, None","Favor, Against"
"Against, None","Favor, None"
"None, None","Against, Against"
"None, None","Against, Against"
"None, None","Against, Against"
"None, None","Against, Against"
"None, Against","Against, Against"
"None, Against","Against, Against"
"Favor, None","Favor, Favor"
"None, Against","Favor, Against"
"Against, None","Against, None"
"Favor, None","Favor, None"
"None, Against","Against, Against"
"None, None","Against, Against"
"Favor, Against","Against, Favor"
"None, None","Against, None"
"Favor, None","Favor, Against"
"None, None","Against, Against"
"Favor, None","Against, None"
